MEA_UPD.ABS_PRES,MEA_UPD.FG_TEMP,MEA_UPD.FLASH_TEMP,MEA_UPD.GASABSIN,MEA_UPD.GASINCO2FRXN,MEA_UPD.GASINH2OFRXN,MEA_UPD.GASINN2FRXN,MEA_UPD.GASINO2FRXN,MEA_UPD.LS_PRES,MEA_UPD.LS_TEMP,MEA_UPD.P-1_FLOW,MEA_UPD.P-1_TEMP,MEA_UPD.P-2_FLOW,MEA_UPD.P-2_TEMP,MEA_UPD.SOLVENTABSIN,MEA_UPD.STRIP_PRES,MEA_UPD.VLE1,MEA_UPD.VLE2,MEA_UPD.VLE3,MEA_UPD.VLE4,MEA_UPD.VLE5,MEA_UPD.VLE6,MEA_UPD.VLE7,MEA_UPD.VLE8,MEA_UPD.VLE9,X_SOLVENT_CALC.AMINECONC,X_SOLVENT_CALC.CO2LOADING
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191301100,-491827300,-329663700,-687988800,29.0924,-7825.722,2.358805,4.703974,-1342.706,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191424700,-492224400,-331896600,-688105400,29.17393,-7970.85,4.508479,1.630024,-1093.202,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191504800,-492088000,-329162100,-693367400,28.89013,-7873.5,3.759817,0.946129,-1153.274,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190312400,-492413800,-329100500,-697522600,29.53696,-7936.646,4.012821,7.077942,-3251.14,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191284700,-492534500,-324385500,-696310800,28.06594,-7592.555,4.486379,5.940655,-2843.38,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191391700,-491982400,-323482500,-696428500,28.78664,-7815.567,3.324701,1.366864,-1987.632,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191416700,-491805600,-331431600,-690435400,29.14961,-7833.729,2.740858,4.984077,-1850.277,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191315700,-492136400,-323115700,-695742100,28.34652,-7679.866,3.160349,2.079828,-1717.404,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191189400,-490981400,-331854200,-681241700,28.40388,-7620.522,3.162671,2.860354,-1488.12,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191340600,-492427200,-328401000,-696922600,29.83737,-8125.583,2.794378,3.827444,-2045.264,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191554900,-492494400,-326010400,-689187700,28.7834,-7883.33,3.335432,2.650904,-1225.403,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191047200,-492692000,-325922700,-690533900,28.77174,-7850.381,3.103489,3.201078,-2371.599,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191563600,-490869000,-334802600,-688604800,28.94989,-7753.901,4.248446,3.626946,-2163.162,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191311200,-492642300,-324308300,-692983200,28.34222,-7684.775,2.707373,2.780431,-2725.826,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191611600,-492845000,-327092400,-690243600,28.28586,-7777.069,3.863823,0.318171,-1350.486,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190393700,-491117300,-324691000,-697330300,30.19794,-8131.891,2.624462,4.871822,-2648.252,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191356400,-492955700,-330471000,-695308000,29.08792,-7885.926,4.569437,7.488901,-3256.933,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191583000,-492765300,-330979800,-689042800,28.99209,-7897.029,2.990347,6.044419,-2900.05,0.3,0.17036
